north,east
7.43,-6.21
7.59,-4.54
8.52,-4.28
2.42,-0.5
8.48,-4.47
4.22,-2.76
8.46,-3.11
4.54,-1.25
4.03,-0.81
2.57,-2.34
5.3,-1.65
3.68,-1.38
3.63,-1.35
2.63,1.54
2.44,-1.83
1.35,1.3
4.98,-2.11
3.94,-1.13
3.55,-2.1
2.97,-3.08
3.07,-2.24
0.6,-2.02
2.44,-3.01
2.3,-2.23
2.06,0.75
1.5,-0.27
3.05,-2.98
2.96,-2.26
3.07,-2.55
2.14,-2.48
3.27,-2.61
2.6,-2.69
2.14,-2.45
1.49,-0.27
2.61,-2.68
2.07,0.74
2.8,-2.69
2.55,-2.54
2.49,-2.81
2.75,-2.1
1.51,-2.28
8.48,-6.24
5.86,-3.53
0.86,-2.65
2.84,-2.35
0.97,-2.58
2.93,-1.1
2.01,-1.31
2.94,-2.5
2.99,-2.13
5.84,-3.61
3.93,-1.89
3.91,-1.89
0.45,-4.46
1.94,-0.92
1.35,-0.03
1.3,0.36
5.76,-2.76
1.37,-0.07
1.36,-0.5
1.37,-0.5
3.18,0.3
3.84,-1.59
2.75,-2.44
1.75,-0.45
2.59,-3.4
2.33,-2.88
0.66,-1.16
1.23,1.17
1.94,-1.65
3.67,-0.72
3.31,-2.13
3.61,-2.6
3.59,-2.63
2.7,-2.54
2.8,-1.92
2.11,-1.7
2.04,-4.48
1.05,-3.04
1.12,-3.17
1.96,-0.93
2.15,-1.13
3.38,-2.18
0.99,-0.47
7.38,-3.46
3.74,-1.65
1.68,-1
3.55,-1.2
3.5,-1.29
5.18,-3.6
3.61,-2.37
7.29,-2.23
0.73,-2.28
2.99,-3.05
3.22,-3.3
2.9,-4.32
0.67,-1.52
2.72,-1.33
3.66,-1.48
2.37,-2.25
4.27,-1.87
4.89,-2.87
4.24,-4.41
3.21,-3.33
3.36,-2.93
3.89,-0.41
4.8,-2.81
4.86,-3.13
3.26,0.14
2.14,-1.7
2.56,-0.36
1.69,0.01
4.21,-1.48
4.32,-1.49
1.83,1.06
3.66,-1.83
3.6,-3.04
3.6,-3.07
4.8,-2.73
3.58,-2.36
4.46,-0.92
3.47,-2.95
8.23,-6.15
7.46,-7.4
7.84,-6.68
7.37,-7.42
7.99,-6.77
7.91,-6.84
7.38,-7.41
8.46,-6.34
7.9,-4.33
7.82,-6.85
7.77,-6.91
7.38,-7.34
7.38,-7.37
7.49,-7.27
7.02,-5.97
5.86,-3.98
7.16,-7.39
7.79,-6.86
7.48,-6.34
8.23,-6.32
8.52,-4.28
8.22,-7.02
3.71,-1.31
3.91,-2.01
8.05,-6.68
6.63,-3.12
3.71,-0.91
6.49,-3.47
7.07,-5.78
6.06,-3.78
6.14,-3.91
4.02,-2.15
4.46,-0.62
3.41,-0.69
2.93,-0.49
7.19,-7.39
0.41,-3.63
0.42,-3.84
1.1,-3.15
4.28,-1.58
4.5,-1.38
4.46,-0.69
4.25,-0.81
3.3,-0.59
0.27,-1.38
2.78,-3.18
0.05,-1.21
5.55,-2.08
2.02,-0.98
2.08,1.12
4.9,-1.54
2.72,-2.94
1.79,-4.98
2.75,-1.55
0.92,-0.2
0.92,-0.2
2.63,-2.28
2.75,-2.75
2.08,-4.68
2.42,1.33
1.21,-0.49
1.89,0.07
1.88,0.06
1.2,-0.48
4.86,-2.71
2.85,1.25
7.58,-4.41
2.47,-2.81
0.99,-2.21
2.21,-1.88
2.41,-1.89
0.82,0.12
1.19,-3.47
1.41,-2.28
2.36,-0.26
2.36,-0.28
4.08,-1.38
2.85,1.23
1.58,0.09
1.47,-1.62
3.82,-0.11
4.49,-1.69
1.79,-0.6
4.03,-2.82
6.74,-3.81
2.14,1.59
2.48,1.6
1.66,-0.36
1.04,0.16
1.03,-1.74
3.01,-1.34
2.71,1.13
3.48,-2.37
0.9,-1.83
1.6,-2.34
3.29,-2.24
2.44,-1.48
1.36,-1.12
1.39,-1.13
2.13,-1.66
1.38,-1.15
0.93,-1.44
2.84,-1.67
0.74,-1.94
1.18,-2.33
1.56,0.01
2.04,-2.55
3.09,-2.8
2.66,-1.85
1.24,-0.76
2.01,1.4
2.1,-0.92
1.99,-2
1.53,-2.24
2.8,-2.75
1.98,-2
3.07,-1.53
4.11,-1.6
3.12,-2.88
2.62,-0.55
2.06,0.97
1.89,0.78
0.83,-0.69
4.13,-3.1
1.08,0.94
2.09,-1.91
1.08,0.91
2.4,-2.83
4.81,-3.34
2.33,0.11
2.59,-1.92
2.18,1.56
0.83,-0.19
1.78,-1.78
4.06,-1.29
3.11,-1.67
3.44,-1.33
0.77,-0.71
2.41,-0.53
1.5,-1.2
2.44,-3.14
5.98,-4.58
1.12,-3.17
1.85,-0.46
0.87,-4.43
0.77,-3.26
1.09,-0.53
1.08,-0.53
1.1,-0.51
1.08,-2.57
3.25,0.17
7.23,-2.71
2.34,-2.08
3.09,-1.38
2.17,-2.38
2.16,-2.38
0.8,0.14
2.89,-0.08
1.1,-2.54
6.84,-5.7
3.67,-0.66
2.07,-1.46
1.74,-2.33
1.13,1.21
2.93,-2.71
2.93,-1.73
3.53,-2.19
0.36,-3.68
7,-3.45
5.71,-2.76
5.79,-3.85
5.73,-2.9
5.67,-2.81
5.76,-4
5.79,-3.83
5.77,-2.22
6.99,-7.5
1.73,-2.53
0.98,-1.36
1.34,-1.9
4.88,-2.26
2.56,-1.76
4.8,-2.23
4.84,-1.89
1.82,0.1
2.01,-2.78
2.88,-1.46
4.88,-2.79
1.05,-2.85
0.84,-3.35
0.81,-2.34
0.5,-3.59
4.73,-3.43
0.73,-3.36
1.21,-3.57
1.01,-3.18
0.75,-3.34
0.5,-3.59
4.22,-0.66
3.91,-0.81
3.8,-1.83
3.36,-2.88
3.73,-1.36
4.01,-1.37
2.42,-1.57
2.94,-1.49
0.29,-5.1
2.59,-0.8
3.19,-2.04
1.46,0.63
1.47,0.63
7.56,-5.62
2.76,-2.22
1.15,-1.71
0.73,-2.76
1.28,0.49
1.47,-2.15
1.36,-1.91
2.95,-0.73
1.46,-2.15
4.17,-2.95
6.1,-3.8
4.77,-3.43
3.23,-2.39
5.42,-4.64
0.91,-2.86
0.8,-2.99
2.38,1.43
2.56,-2.39
2.71,-2.57
2.55,-2.79
1.69,-4.09
3.17,-3.1
2.1,-3.35
6.88,-4.92
7.23,-4.56
1.95,-4.27
1.71,-3.85
2.08,-4.16
1.58,-3.02
2.3,0.99
3.06,-1.3
5.06,-3.42
2.15,-2.98
2.16,-2.98
0.78,-2.12
3.56,-1.12
2.9,-2.44
0.95,-4.36
6.41,-3.52
3.63,-1.75
1.55,-2.57
5.87,-3.52
1.96,0.54
4.07,-1.25
2.22,-1.84
2.23,-1.84
7.69,-4.26
7.65,-4.24
4.08,-1.23
5.38,-2.01
5.38,-1.62
5.41,-1.71
1.53,-0.29
1.98,0.72
2.11,0.74
0.69,-3.54
2.55,1.37
2.54,-3.07
3.17,-1.67
3.12,-2.62
1.84,0.98
2.72,-1.76
3.09,-2.31
3.02,-2.29
1.72,-0.84
3.09,-1.76
0.81,-2.99
4.8,-2.45
1.2,-2.98
1.89,-2.1
1.98,-2.03
3.09,-1.8
1.25,-2.84
0.98,-3.82
3.52,-2.09
0.6,-4.51
7.96,-4.55
1.96,-2.67
7.1,-2.08
3.78,-2.35
3.51,-2.09
1.64,0.75
3.57,-0.74
1.5,-0.77
8.28,-4.45
3.7,-1.44
1.14,-0.98
1.21,-1.78
2.97,-1.89
3.17,-1.46
1.35,-1.85
5.61,-4.51
0.81,-2.44
1.35,-1.84
3.37,-2.36
6.18,-4.48
2.48,-1.83
6.14,-3.8
3.25,-2.76
2.89,-1.43
2.34,-1.97
2.63,-1.64
1,-2.04
2.45,-2.35
1,-4.12
0.77,-1.16
0.66,-1.19
3.68,-1.53
2.96,-0.82
7.64,-3.45
1.73,-1.61
2.2,-1.66
1.58,-2.53
1.58,-2.54
2.18,-1.67
7.15,-3.88
3.39,0.04
0.93,-2.68
1.69,-2.58
2.54,-0.33
1.58,-2.95
0.92,-2.48
0.98,-4.28
5.34,-2.12
3.85,-1.54
3.85,-1.53
3.85,-1.56
6.61,-3.24
0.17,-5.51
0.17,-5.53
7.87,-4.58
2.88,-1.37
0.9,-0.53
2.11,-2.67
1.7,-2.21
5.32,-1.57
2.46,-2.16
3.75,-1.86
4.42,-2.97
1.88,-4.9
1.86,-1.12
3.61,-0.71
1.4,-0.79
1.67,-0.61
1.66,-0.61
1.66,-0.62
1.67,-0.61
2.84,-2.01
1.16,-1.78
1.32,-2.5
0.81,-1.9
7.96,-7
2.63,-1.66
5.12,-3.56
3.41,-4.34
3.41,-4.33
1.78,-4
0.84,-2.91
4.14,-0.86
1,-1.43
4.19,-1.11
1.7,-1.91
1.71,-1.88
1.7,-1.88
1.19,-1.58
2.02,-0.5
2.3,0.72
1.73,-4.66
6.5,-3.8
1.8,-0.31
7.31,-3.61
6.69,-5.57
7.61,-5.31
2.97,-0.54
2.45,-3.22
0.82,-1.05
2.54,0.94
3.87,-3.03
2.76,1.42
8.19,-6.27
3.47,-2.22
5.69,-2
5.69,-2.06
5.5,-2.6
0.79,-0.61
9.38,-2.44
3.25,0.27
3.25,0.3
1.09,-2.95
1.1,-3.08
0.77,-2.18
0.33,-4.22
3.61,-2.6
3.27,-2.54
3.62,-2.74
1.2,-1.48
1.2,-1.44
1.86,-1.97
4.36,-4.44
1.26,-1.01
2.8,-4.74
1.4,-0.07
3.43,-2.94
0.19,-5.39
0.19,-5.09
2.38,-2.63
0.96,-3.15
4.9,-3.21
1.67,-5.09
8.21,-6.41
0.82,-0.49
3.92,-1.2
4.38,-2.18
4.98,-2.07
2.2,-2.39
3.73,-0.43
3.73,-0.4
2.83,0.58
0.89,-1.04
4.98,-3.26
4.26,-3.39
7.52,-5.52
6.34,-5.18
1.18,-1.51
5.47,-4.53
3.07,-1.25
3.07,-1.27
4.85,-1.73
5.88,-4.33
7.47,-6.28
2.44,1.45
5.06,-1.59
7.46,-2.11
2.65,-2.81
0.79,-1.16
2.75,-1.49
3.74,-3
1.84,-0.33
1.09,-2.52
2.51,-1.57
2.53,-1.54
2.82,-1.68
2.81,-1.71
1.07,-0.67
1.96,0.03
2.66,-1.2
6.21,-2.69
6.21,-2.71
1.03,-2.07
0.99,-0.16
2.44,-1.42
1.03,-2.07
0.82,-2.34
0.9,-1.09
0.36,-4.26
1.9,-2.42
4.91,-3.26
2.84,1.34
3,-0.06
6.02,-3.81
0.39,-4.23
3.3,-2.54
1.2,1
1.38,-1.51
3.03,-0.34
4.87,-4.21
6.88,-4.94
3.03,-2.28
1.3,0.03
2.34,-2.01
2.54,-0.49
2.75,-2.22
3.26,-0.35
2.57,-2.44
3.29,-1.43
1.95,-2.2
3.82,-1.71
4.91,-1.92
4.3,-2.23
6.56,-5.37
3.61,-0.56
4.57,-2.49
2.67,-1.54
2.66,-1.55
7.42,-5.81
1.04,-4.19
1.02,0.77
0.91,-3.33
1.03,0.78
1.63,-1.25
5.14,-3.41
1.53,-0.8
0.86,-1.44
1.23,-1.57
4.61,-3.14
1.7,-1.36
3.36,-2.73
4.27,-0.88
4.14,-0.88
3.35,-2.58
3.87,-1.16
3.34,-2.55
4.43,-1.4
5.44,-2.76
4.03,-1.92
0.98,-3.32
0.72,-1.15
3.57,-2.72
0.64,-1.2
2.21,1.32
1.73,-0.48
1.97,-0.37
0.82,-0.8
2.64,-2.47
7.25,-2.43
7.74,-4.01
1.79,-4.75
6.55,-2.65
1.39,-0.92
1.39,-0.9
1.37,-0.9
3.36,-1.44
6.56,-2.58
2.21,0.1
6.86,-2.34
4.54,-1.61
2.07,-3.08
7.48,-3.28
3.15,-2.33
3.14,-2.33
7.99,-4.25
6.29,-6.25
7.44,-2
6.36,-5.11
7.35,-5.6
7.39,-5.61
5.63,-6.11
5.84,-5.06
6.25,-5.26
7.86,-4.34
6.28,-4.29
6.43,-4.4
2.72,-3.11
1.92,-0.11
7.27,-5.55
5.8,-4.33
6.02,-4.63
7.39,-4.49
3.41,-2.13
2.18,-1.84
6.35,-5.51
6.04,-4.92
6.48,-4.17
7.56,-4.04
6.69,-5.67
6.17,-5.54
5.87,-5.9
6.17,-4.78
7.87,-4.37
7.87,-4.37
7.84,-5.08
7.57,-7.42
7.54,-5.71
6.1,-5.57
6.23,-5.63
7.84,-5.11
1.04,-0.08
1.58,-1.38
1.59,-1.38
7.25,-5.59
7.64,-2.21
1.92,0.98
1.57,0.2
1.93,0.96
6.55,-3.2
1.93,-1.21
1.8,0.2
6.29,-4.73
7.93,-5.19
6.18,-4.77
5.88,-5.88
7,-7.42
5.66,-5.75
6.78,-5.75
7.84,-4.19
7.37,-6.52
5.97,-4.93
7.35,-5.52
8.01,-5.4
7.5,-4.48
6.68,-5.59
7.44,-2.25
5.94,-4.62
7.48,-2.91
7.33,-2.58
6.02,-4.87
6.01,-5.45
7.39,-6.54
8.17,-7.03
7.73,-4.33
5.63,-4.81
6.73,-5.79
6.03,-6.27
3.54,-1.42
6.52,-4.11
6.76,-5.89
6.32,-6.22
6.23,-5.55
7.63,-4.38
7.85,-4.22
7.05,-5.92
7,-7.42
6.95,-4.46
4.76,-4.95
3.46,-2.22
6.78,-5.86
2.32,-2.29
1.11,-0.82
2.44,-3.03
2.5,-3.1
1.69,-3.2
2.77,-3
1.03,0.23
6.32,-6.35
7.55,-5.77
6.62,-6.53
6.9,-5.86
6.7,-5.56
6.73,-5.84
4.03,-1.42
1.98,0.15
4.13,-2.64
4.73,-3.33
5.2,-2.99
4.41,-2
1.64,-0.23
3.54,-1.14
3.22,-1.37
1.9,-2.11
1.77,-2.27
4.55,-3.48
2.12,-1.43
2,-0.26
2.68,-2.5
3.32,-2.49
3.31,-2.48
1.78,-2.43
1.14,-3.98
0.84,0.18
1.75,-1.85
1.15,-3.98
8.54,-4.09
5.89,-3.71
4.8,-2.77
1.92,0.31
2.58,1.32
2.74,-1.89
3.61,-1.8
3.79,-1.59
2.09,-1.65
2.88,-2.35
3.02,-2.1
2.45,-0.44
3.52,-1.06
4.24,-3.26
4.13,-2.1
6.23,-2.79
0.69,-2.04
2.52,-1.1
7.13,-5.57
7.45,-6.02
5.83,-3.05
8.33,-6.59
3.85,-0.29
2.99,-1.12
1.43,-2.57
6.11,-4.23
4.19,-2.84
2.94,-2.82
7.51,-4.32
1.1,1.12
4.21,-3.07
3.88,-0.43
4.33,-1.69
0.67,-1.23
2.13,-0.07
6.19,-4.75
2.2,-1.89
3.37,-3.09
2.36,-1.95
2.21,-2.83
3.55,-1.8
2.65,-2.84
7.51,-4.3
3.36,-2.42
3.89,-1.59
2.42,-0.89
2.7,-4.01
7.41,-2.06
3.82,-1.43
1.21,-0.58
0.85,-0.56
4.56,-3.45
5.82,-5.03
1.4,-0.67
2,-1.53
1.86,-1.56
1.86,-1.58
1.86,-1.56
6.7,-3.09
4.16,-1.4
2.76,-0.96
2.76,-0.93
3.17,-0.01
2.99,-0.34
0.99,-3.02
0.97,-2.75
0.76,-2.76
0.88,-2.2
0.32,-3.64
1.25,-0.72
1.27,1.28
1.35,0.29
7.23,-5.83
1.48,-1.19
1.48,-1.19
1.31,-1.41
1.24,0.6
3.01,-2.1
1.1,-3.31
2.14,1.15
3.01,-1.73
0.98,-3.35
2.54,-2.81
0.91,0.38
0.51,-3.76
0.76,-4.12
1.56,-1.62
3.56,-0.65
3.17,0.12
3.48,-0.11
3.08,-0.43
2.74,-1.48
2.7,-0.96
3.48,-0.13
2.5,-1.17
2.48,-1.23
3.22,-0.02
2.3,-1.16
2.56,1.42
1.99,-2.11
0.6,-3.54
1.35,-2.96
1.12,-2.81
1.14,-2.8
0.91,-3.22
2.05,0.3
1.24,-1.24
1.67,0.84
2.04,0.53
1.82,-0.98
1.72,-0.65
0.69,-1.19
0.96,-1.48
2.21,1.21
1.93,-3.9
1.9,-2.59
2.81,-3.02
6,-5.59
6.2,-3.96
2.21,1.21
2.3,1.31
2.16,0.57
2.83,-2.44
1.03,-0.24
4.09,-1.81
1.09,-4.1
1.14,0.85
0.92,-1.81
0.31,-3.85
1.42,-0.47
2.32,-2.72
2.32,-2.7
1.41,-0.44
1.35,-1.21
3.21,-1.71
3.23,-1.46
5.71,-3.94
1.23,-0.71
2.46,-1.51
7.64,-3.3
1.31,-2.43
2.95,-2.95
0.54,-3.53
5.6,-2.92
0.94,-2.96
0.89,-3.3
2.6,0.77
1.6,0.68
0.98,-2.62
0.93,-0.39
0.78,-2
5.17,-1.57
3.16,0.27
5.48,-2.84
0.82,-1.34
1.92,-2.27
1.06,-1.45
1.18,1.29
0.83,-1.81
0.75,-1.64
2.5,-0.83
2.22,0.47
1.64,-2.1
1.41,-2.27
3.35,-2.34
2.92,-2.35
0.73,-1.63
2.92,-2.37
1.47,-2.59
1.73,-0.59
0.83,-1.84
3.36,-2.36
2.91,-2.38
2.29,-2.77
1.37,-0.42
2.94,-2.64
2.73,1.42
0.93,-4.37
1.68,-2.34
0.99,-3.73
0.73,-4.28
0.95,-3.72
0.95,-2.12
1.41,-1.28
2.58,-2.06
2.6,-2.06
3.37,-1.71
2.21,-1.56
3.16,-1.49
3.14,-1.47
2.32,-1.54
2.94,-2.64
2.06,-2.52
0.4,-3.67
1.05,-3.21
0.9,-3.96
0.81,-3.9
2.07,0.93
1.3,-0.3
0.88,-3.42
1.23,-2.84
0.96,-1.23
0.1,-5.35
2.48,-0.45
2.27,-2.71
2.13,-0.89
3.21,-2.75
2.63,-0.37
5.95,-4.83
1.32,-2.15
1.43,-2.62
0.88,0.07
3.3,-2.66
3.48,-2.64
1.64,-1.94
2.04,-2.01
3.48,-2.09
3.42,-2.33
1.42,-2.63
1.12,0.15
0.93,-0.33
0.88,-1.53
3.55,-2.78
0.9,-1.51
1.1,0.01
1.78,-3.26
1.26,-0.72
0.73,-4.29
0.93,-2.91
0.55,-3.56
2.03,-0.16
2.7,-0.72
2.04,-0.17
2.52,1.15
1.23,-2.53
2.74,0.51
2.49,-2.2
4.18,-3.21
3.61,-1.17
0.72,-2.68
3,-0.8
1.73,-0.82
4.6,-2.76
3.25,-0.89
3.92,-1.16
3.92,-1.19
6.06,-5.32
5.42,-5.6
4.31,-2.09
3.92,-1.75
2.85,-0.39
2.46,1.16
2.95,-0.89
1.12,-2.77
2.24,1.17
4.75,-3.33
1.93,-0.03
2.91,-0.12
2.97,-1.21
2.89,-2.28
2.01,-0.63
2.32,-1.86
2,-0.66
3.56,-2.59
3.47,-2.55
0.49,-1.47
3.74,-0.92
3.26,0.23
3.27,0.2
2,0.81
2.12,0.58
3.14,-2.24
2.17,-1.02
3.29,-0.11
2.65,-2.93
2.51,-2.9
1.79,-1.59
1.8,-1.56
3.25,-2.27
2.49,-1.54
2.3,-2.32
3.49,-2.45
2.75,-2.71
2.56,-2.44
3.6,-2.43
2.31,-2.29
3.48,-2.45
3.34,-2.7
2.33,-2.79
2.53,-2.29
2.49,-1.88
2.51,-3.04
2.25,-2.79
1.88,-0.15
1.72,-1.5
1.54,-0.87
3.34,-1.73
3.29,-2.67
3.36,-1.31
2.96,-2.37
3.01,-2.58
3.19,-3.04
2.87,-1.76
2.84,-2.69
2.8,-2.16
1.87,-0.78
2.32,-2.55
2.45,-2.54
2.87,-2.13
2.22,-1.81
1.8,-0.73
1.9,-2.48
1.99,-2.08
1.9,-0.15
2.54,-2.51
2.31,-2.06
2.52,-1.32
1.9,-2.46
3.1,-2.53
2.14,-1.28
2.01,-1.72
2.47,-2.72
2,-2.08
2.42,-2.89
2.85,-1.39
2.63,-2.99
2.64,-2.97
1.68,-0.95
1.75,-0.91
2.04,-1.94
2.84,-3.01
2.06,-1.81
1.56,-1.2
1.57,-1.2
2.02,-1.27
1.81,-0.71
2.02,-0.23
3.17,-1.34
2.28,-2.1
2.11,-0.61
2.21,-2.2
2.25,-1.94
2.93,-0.42
3.2,0.05
2.67,-2.68
2.14,-1.95
0.74,-2.32
2.28,1.22
1.04,-2.94
5.98,-2.75
0.6,-1.35
0.98,-4.01
0.79,-0.58
3.57,-1.47
3.57,-1.47
0.94,-2.88
2.57,-1.54
2.14,-1.7
3.52,-2.49
3.02,-1.65
0.75,-2.79
7.38,-5.46
2.9,-1.24
2.04,-0.7
3.41,-0.52
3.38,-1.44
2.56,-2.53
2.57,-1.48
2.51,1
2.5,-1.45
2.7,1.13
2.15,0.54
3.93,-0.18
1.38,-2.2
2.11,-2.74
3.14,-0.62
7.03,-2.51
7.33,-3.33
5.79,-4.39
5.25,-3.85
6.89,-2.46
4.83,-3.88
5.14,-3.61
5.49,-5.1
5.57,-5.34
5.83,-2.24
5.84,-3.19
7,-3.41
5.76,-3.61
7.63,-3.05
5.63,-4.78
5.66,-3.9
5.44,-5.14
5.89,-5.24
4.83,-4.75
5.76,-4.13
5.68,-4.61
7.28,-5.58
5.89,-4.22
7.58,-3
6.17,-5.17
5.46,-4.29
6.72,-3.32
5.9,-4.16
5.78,-4.09
5.95,-4.13
5.96,-4.05
7.3,-2.63
6.43,-4.41
5.53,-4.36
6.58,-2.53
6.19,-3.27
6.18,-3.17
6.75,-2.88
7.45,-2.11
7.29,-3.31
6.28,-3.71
7.72,-5.69
6.14,-3.27
6.28,-3.24
6.09,-3.25
6.35,-4.34
3.5,-1.02
3.47,-2.12
2.98,-2.5
3.04,-2.31
2.39,1.14
2.01,0.21
2.14,0.7
2,0.63
4.73,-3.16
1.3,-1.67
4.09,-2.68
3.83,-0.93
3.53,-2.92
3.36,-1.32
3.54,-2.89
4.62,-2.09
7.57,-3.82
2.18,-2.79
5.15,-3.71
5.72,-4.19
7.45,-2.53
7.84,-5.59
3.18,-1.31
8.55,-4.06
8.57,-4.04
7.56,-3
7.49,-4.48
2.71,-0.49
0.79,-3.36
2.92,-0.45
7.15,-7.32
1.59,-2.62
2.77,-0.08
3.42,0.06
1.59,-0.57
3.43,-1
3.54,-2.07
3.79,-1.43
2.65,-1.57
4.1,-2.36
3.3,0.09
3.23,0.29
1.42,-1.85
1.42,-1.87
1.49,0.24
1.68,-2.17
1.63,-2.42
3.07,-0.86
7.27,-5.58
1.44,0.07
0.3,-3.84
7.18,-3.83
1.08,-1.24
1.41,-1.46
7.56,-4.17
0.78,-1.8
1.48,-2.07
5.92,-3.74
1.32,-2.28
2.14,-1.4
1.49,-2.69
0.4,-3.81
1,-1.53
1.56,-2.59
0.8,-3.23
1.77,-2.43
2.98,-1.28
1.28,-2.81
1.18,-1.12
1.41,-1.67
1.34,-1.19
0.77,-3
0.71,-3.06
3.3,-3.35
0.48,-4.1
4.94,-1.7
1.11,1.28
4.59,-1.56
4.98,-2
4.78,-1.59
1.7,-2.56
1.71,-2.58
4.83,-2.45
0.71,-3.37
1.81,-0.82
3.54,-0.19
1.29,0.46
1.22,1.19
2.59,-1.15
2.05,-2.7
2.6,-1.14
2.9,1.24
2.79,1.24
2.03,-2.51
1.89,-1.85
2.28,-2.85
1.99,-1.25
1.81,-0.24
1.83,-0.27
1.82,-0.24
5.46,-4.62
1.79,-0.33
0.21,-1.49
4.9,-1.39
4.28,-2
0.92,-3.36
4.23,-2.93
2.6,-0.73
1.8,0.3
4.88,-1.56
5.84,-2.12
5.84,-2.12
4.16,-1.61
0.47,-3.52
2.98,-1.27
2.86,-2.99
1.82,0.01
1.04,-2.62
2,-3.7
2.1,0.52
3.24,-3.27
0.55,-3.87
2.8,0.47
2.12,0.2
3.31,-0.98
8.27,-6.3
3.32,-4.35
2.42,-2.79
2.52,-3.12
0.87,0.61
2.46,-2.73
1.68,-4.02
9.15,-2.77
4.24,-2.99
3.43,-2.07
7.39,-2.78
1.8,-4.52
3.23,-2.91
3.25,-2.93
7.44,-2.36
7.5,-2.13
7.45,-2.06
7.99,-3.98
7.7,-3.44
6.26,-2.92
3.05,-1.88
5.47,-4.29
2.19,0.54
1.4,-2.74
1.41,-2.74
1.41,-2.73
5.04,-1.53
1.83,0.32
1.84,0.32
2.48,-1.75
2.88,1.15
2.26,1
1.98,-2.93
