north,east
52.85,1.23
51.58,0.09
51.47,-1.62
53.82,-0.11
54.49,-1.69
51.79,-0.6
54.03,-2.82
56.74,-3.81
52.14,1.59
52.48,1.6
51.66,-0.36
51.04,0.16
51.03,-1.74
53.01,-1.34
52.71,1.13
53.48,-2.37
50.9,-1.83
51.6,-2.34
53.29,-2.24
52.44,-1.48
51.36,-1.12
51.39,-1.13
52.13,-1.66
51.38,-1.15
50.93,-1.44
52.84,-1.67
50.74,-1.94
51.18,-2.33
51.56,0.01
52.04,-2.55
53.09,-2.8
52.66,-1.85
51.24,-0.76
52.01,1.4
52.1,-0.92
51.99,-2
51.53,-2.24
52.8,-2.75
51.98,-2
53.07,-1.53
54.11,-1.6
53.12,-2.88
52.62,-0.55
52.06,0.97
51.89,0.78
50.83,-0.69
54.13,-3.1
51.08,0.94
52.09,-1.91
51.08,0.91
52.4,-2.83
54.81,-3.34
52.33,0.11
52.59,-1.92
52.18,1.56
50.83,-0.19
51.78,-1.78
54.06,-1.29
53.11,-1.67
53.44,-1.33
50.77,-0.71
52.41,-0.53
51.5,-1.2
52.44,-3.14
55.98,-4.58
51.12,-3.17
51.85,-0.46
50.87,-4.43
50.77,-3.26
51.09,-0.53
51.08,-0.53
51.1,-0.51
51.08,-2.57
53.25,0.17
57.23,-2.71
52.34,-2.08
53.09,-1.38
52.17,-2.38
52.16,-2.38
50.8,0.14
52.89,-0.08
51.1,-2.54
56.84,-5.7
53.67,-0.66
52.07,-1.46
51.74,-2.33
51.13,1.21
52.93,-2.71
52.93,-1.73
53.53,-2.19
50.36,-3.68
57,-3.45
55.71,-2.76
55.79,-3.85
55.73,-2.9
55.67,-2.81
55.76,-4
55.79,-3.83
55.77,-2.22
56.99,-7.5
51.73,-2.53
50.98,-1.36
51.34,-1.9
54.88,-2.26
52.56,-1.76
54.8,-2.23
54.84,-1.89
51.82,0.1
52.01,-2.78
52.88,-1.46
54.88,-2.79
51.05,-2.85
50.84,-3.35
50.81,-2.34
50.5,-3.59
54.73,-3.43
50.73,-3.36
51.21,-3.57
51.01,-3.18
50.75,-3.34
50.5,-3.59
54.22,-0.66
53.91,-0.81
53.8,-1.83
53.36,-2.88
53.73,-1.36
54.01,-1.37
52.42,-1.57
52.94,-1.49
50.29,-5.1
52.59,-0.8
53.19,-2.04
51.46,0.63
51.47,0.63
57.56,-5.62
52.76,-2.22
51.15,-1.71
50.73,-2.76
51.28,0.49
51.47,-2.15
51.36,-1.91
52.95,-0.73
51.46,-2.15
54.17,-2.95
56.1,-3.8
54.77,-3.43
53.23,-2.39
55.42,-4.64
50.91,-2.86
50.8,-2.99
52.38,1.43
52.56,-2.39
52.71,-2.57
52.55,-2.79
51.69,-4.09
53.17,-3.1
52.1,-3.35
56.88,-4.92
57.23,-4.56
51.95,-4.27
51.71,-3.85
52.08,-4.16
51.58,-3.02
52.3,0.99
53.06,-1.3
55.06,-3.42
52.15,-2.98
52.16,-2.98
50.78,-2.12
53.56,-1.12
52.9,-2.44
50.95,-4.36
56.41,-3.52
53.63,-1.75
51.55,-2.57
55.87,-3.52
51.96,0.54
54.07,-1.25
52.22,-1.84
52.23,-1.84
57.69,-4.26
57.65,-4.24
54.08,-1.23
55.38,-2.01
55.38,-1.62
55.41,-1.71
51.53,-0.29
51.98,0.72
52.11,0.74
50.69,-3.54
52.55,1.37
52.54,-3.07
53.17,-1.67
53.12,-2.62
51.84,0.98
52.72,-1.76
53.09,-2.31
53.02,-2.29
51.72,-0.84
53.09,-1.76
50.81,-2.99
54.8,-2.45
51.2,-2.98
51.89,-2.1
51.98,-2.03
53.09,-1.8
51.25,-2.84
50.98,-3.82
53.52,-2.09
50.6,-4.51
57.96,-4.55
51.96,-2.67
57.1,-2.08
53.78,-2.35
53.51,-2.09
51.64,0.75
53.57,-0.74
51.5,-0.77
58.28,-4.45
53.7,-1.44
51.14,-0.98
51.21,-1.78
52.97,-1.89
53.17,-1.46
51.35,-1.85
55.61,-4.51
50.81,-2.44
51.35,-1.84
53.37,-2.36
56.18,-4.48
52.48,-1.83
56.14,-3.8
53.25,-2.76
52.89,-1.43
52.34,-1.97
52.63,-1.64
51,-2.04
52.45,-2.35
51,-4.12
50.77,-1.16
50.66,-1.19
53.68,-1.53
52.96,-0.82
57.64,-3.45
51.73,-1.61
52.2,-1.66
51.58,-2.53
51.58,-2.54
52.18,-1.67
57.15,-3.88
53.39,0.04
50.93,-2.68
51.69,-2.58
52.54,-0.33
51.58,-2.95
50.92,-2.48
50.98,-4.28
55.34,-2.12
53.85,-1.54
53.85,-1.53
53.85,-1.56
56.61,-3.24
50.17,-5.51
50.17,-5.53
57.87,-4.58
52.88,-1.37
50.9,-0.53
52.11,-2.67
51.7,-2.21
55.32,-1.57
52.46,-2.16
53.75,-1.86
54.42,-2.97
51.88,-4.9
51.86,-1.12
53.61,-0.71
51.4,-0.79
51.67,-0.61
51.66,-0.61
51.66,-0.62
51.67,-0.61
52.84,-2.01
51.16,-1.78
51.32,-2.5
50.81,-1.9
57.96,-7
52.63,-1.66
55.12,-3.56
53.41,-4.34
53.41,-4.33
51.78,-4
50.84,-2.91
54.14,-0.86
51,-1.43
54.19,-1.11
51.7,-1.91
51.71,-1.88
51.7,-1.88
51.19,-1.58
52.02,-0.5
52.3,0.72
51.73,-4.66
56.5,-3.8
51.8,-0.31
57.31,-3.61
56.69,-5.57
57.61,-5.31
52.97,-0.54
52.45,-3.22
50.82,-1.05
52.54,0.94
53.87,-3.03
52.76,1.42
58.19,-6.27
53.47,-2.22
55.69,-2
55.69,-2.06
55.5,-2.6
50.79,-0.61
59.38,-2.44
53.25,0.27
53.25,0.3
51.09,-2.95
51.1,-3.08
50.77,-2.18
50.33,-4.22
53.61,-2.6
53.27,-2.54
53.62,-2.74
51.2,-1.48
51.2,-1.44
51.86,-1.97
54.36,-4.44
51.26,-1.01
52.8,-4.74
51.4,-0.07
53.43,-2.94
50.19,-5.39
50.19,-5.09
52.38,-2.63
50.96,-3.15
54.9,-3.21
51.67,-5.09
58.21,-6.41
50.82,-0.49
53.92,-1.2
54.38,-2.18
54.98,-2.07
52.2,-2.39
53.73,-0.43
53.73,-0.4
52.83,0.58
50.89,-1.04
54.98,-3.26
54.26,-3.39
57.52,-5.52
56.34,-5.18
51.18,-1.51
55.47,-4.53
53.07,-1.25
53.07,-1.27
54.85,-1.73
55.88,-4.33
57.47,-6.28
52.44,1.45
55.06,-1.59
57.46,-2.11
52.65,-2.81
50.79,-1.16
52.75,-1.49
53.74,-3
51.84,-0.33
51.09,-2.52
52.51,-1.57
52.53,-1.54
52.82,-1.68
52.81,-1.71
51.07,-0.67
51.96,0.03
52.66,-1.2
56.21,-2.69
56.21,-2.71
51.03,-2.07
50.99,-0.16
52.44,-1.42
51.03,-2.07
50.82,-2.34
50.9,-1.09
50.36,-4.26
51.9,-2.42
54.91,-3.26
52.84,1.34
53,-0.06
56.02,-3.81
50.39,-4.23
53.3,-2.54
51.2,1
51.38,-1.51
53.03,-0.34
54.87,-4.21
56.88,-4.94
53.03,-2.28
51.3,0.03
52.34,-2.01
52.54,-0.49
52.75,-2.22
53.26,-0.35
52.57,-2.44
53.29,-1.43
51.95,-2.2
53.82,-1.71
54.91,-1.92
54.3,-2.23
56.56,-5.37
53.61,-0.56
54.57,-2.49
52.67,-1.54
52.66,-1.55
57.42,-5.81
51.04,-4.19
51.02,0.77
50.91,-3.33
51.03,0.78
51.63,-1.25
55.14,-3.41
51.53,-0.8
50.86,-1.44
51.23,-1.57
54.61,-3.14
51.7,-1.36
53.36,-2.73
54.27,-0.88
54.14,-0.88
53.35,-2.58
53.87,-1.16
53.34,-2.55
54.43,-1.4
55.44,-2.76
54.03,-1.92
50.98,-3.32
50.72,-1.15
53.57,-2.72
50.64,-1.2
52.21,1.32
51.73,-0.48
51.97,-0.37
50.82,-0.8
52.64,-2.47
57.25,-2.43
57.74,-4.01
51.79,-4.75
56.55,-2.65
51.39,-0.92
51.39,-0.9
51.37,-0.9
53.36,-1.44
56.56,-2.58
52.21,0.1
56.86,-2.34
54.54,-1.61
52.07,-3.08
57.48,-3.28
53.15,-2.33
53.14,-2.33
57.99,-4.25
56.29,-6.25
57.44,-2
56.36,-5.11
57.35,-5.6
57.39,-5.61
55.63,-6.11
55.84,-5.06
56.25,-5.26
57.86,-4.34
56.28,-4.29
56.43,-4.4
52.72,-3.11
51.92,-0.11
57.27,-5.55
55.8,-4.33
56.02,-4.63
57.39,-4.49
53.41,-2.13
52.18,-1.84
56.35,-5.51
56.04,-4.92
56.48,-4.17
57.56,-4.04
56.69,-5.67
56.17,-5.54
55.87,-5.9
56.17,-4.78
57.87,-4.37
57.87,-4.37
57.84,-5.08
57.57,-7.42
57.54,-5.71
56.1,-5.57
56.23,-5.63
57.84,-5.11
51.04,-0.08
51.58,-1.38
51.59,-1.38
57.25,-5.59
57.64,-2.21
51.92,0.98
51.57,0.2
51.93,0.96
56.55,-3.2
51.93,-1.21
51.8,0.2
56.29,-4.73
57.93,-5.19
56.18,-4.77
55.88,-5.88
57,-7.42
55.66,-5.75
56.78,-5.75
57.84,-4.19
57.37,-6.52
55.97,-4.93
57.35,-5.52
58.01,-5.4
57.5,-4.48
56.68,-5.59
57.44,-2.25
55.94,-4.62
57.48,-2.91
57.33,-2.58
56.02,-4.87
56.01,-5.45
57.39,-6.54
58.17,-7.03
57.73,-4.33
55.63,-4.81
56.73,-5.79
56.03,-6.27
53.54,-1.42
56.52,-4.11
56.76,-5.89
56.32,-6.22
56.23,-5.55
57.63,-4.38
57.85,-4.22
57.05,-5.92
57,-7.42
56.95,-4.46
54.76,-4.95
53.46,-2.22
56.78,-5.86
52.32,-2.29
51.11,-0.82
52.44,-3.03
52.5,-3.1
51.69,-3.2
52.77,-3
51.03,0.23
56.32,-6.35
57.55,-5.77
56.62,-6.53
56.9,-5.86
56.7,-5.56
56.73,-5.84
54.03,-1.42
51.98,0.15
54.13,-2.64
54.73,-3.33
55.2,-2.99
54.41,-2
51.64,-0.23
53.54,-1.14
53.22,-1.37
51.9,-2.11
51.77,-2.27
54.55,-3.48
52.12,-1.43
52,-0.26
52.68,-2.5
53.32,-2.49
53.31,-2.48
51.78,-2.43
51.14,-3.98
50.84,0.18
51.75,-1.85
51.15,-3.98
58.54,-4.09
55.89,-3.71
54.8,-2.77
51.92,0.31
52.58,1.32
52.74,-1.89
53.61,-1.8
53.79,-1.59
52.09,-1.65
52.88,-2.35
53.02,-2.1
52.45,-0.44
53.52,-1.06
54.24,-3.26
54.13,-2.1
56.23,-2.79
50.69,-2.04
52.52,-1.1
57.13,-5.57
57.45,-6.02
55.83,-3.05
58.33,-6.59
53.85,-0.29
52.99,-1.12
51.43,-2.57
56.11,-4.23
54.19,-2.84
52.94,-2.82
57.51,-4.32
51.1,1.12
54.21,-3.07
53.88,-0.43
54.33,-1.69
50.67,-1.23
52.13,-0.07
56.19,-4.75
52.2,-1.89
53.37,-3.09
52.36,-1.95
52.21,-2.83
53.55,-1.8
52.65,-2.84
57.51,-4.3
53.36,-2.42
53.89,-1.59
52.42,-0.89
52.7,-4.01
57.41,-2.06
53.82,-1.43
51.21,-0.58
50.85,-0.56
54.56,-3.45
55.82,-5.03
51.4,-0.67
52,-1.53
51.86,-1.56
51.86,-1.58
51.86,-1.56
56.7,-3.09
54.16,-1.4
52.76,-0.96
52.76,-0.93
53.17,-0.01
52.99,-0.34
50.99,-3.02
50.97,-2.75
50.76,-2.76
50.88,-2.2
50.32,-3.64
51.25,-0.72
51.27,1.28
51.35,0.29
57.23,-5.83
51.48,-1.19
51.48,-1.19
51.31,-1.41
51.24,0.6
53.01,-2.1
51.1,-3.31
52.14,1.15
53.01,-1.73
50.98,-3.35
52.54,-2.81
50.91,0.38
50.51,-3.76
50.76,-4.12
51.56,-1.62
53.56,-0.65
53.17,0.12
53.48,-0.11
53.08,-0.43
52.74,-1.48
52.7,-0.96
53.48,-0.13
52.5,-1.17
52.48,-1.23
53.22,-0.02
52.3,-1.16
52.56,1.42
51.99,-2.11
50.6,-3.54
51.35,-2.96
51.12,-2.81
51.14,-2.8
50.91,-3.22
52.05,0.3
51.24,-1.24
51.67,0.84
52.04,0.53
51.82,-0.98
51.72,-0.65
50.69,-1.19
50.96,-1.48
52.21,1.21
51.93,-3.9
51.9,-2.59
52.81,-3.02
56,-5.59
56.2,-3.96
52.21,1.21
52.3,1.31
52.16,0.57
52.83,-2.44
51.03,-0.24
54.09,-1.81
51.09,-4.1
51.14,0.85
50.92,-1.81
50.31,-3.85
51.42,-0.47
52.32,-2.72
52.32,-2.7
51.41,-0.44
51.35,-1.21
53.21,-1.71
53.23,-1.46
55.71,-3.94
51.23,-0.71
52.46,-1.51
57.64,-3.3
51.31,-2.43
52.95,-2.95
50.54,-3.53
55.6,-2.92
50.94,-2.96
50.89,-3.3
52.6,0.77
51.6,0.68
50.98,-2.62
50.93,-0.39
50.78,-2
55.17,-1.57
53.16,0.27
55.48,-2.84
50.82,-1.34
51.92,-2.27
51.06,-1.45
51.18,1.29
50.83,-1.81
50.75,-1.64
52.5,-0.83
52.22,0.47
51.64,-2.1
51.41,-2.27
53.35,-2.34
52.92,-2.35
50.73,-1.63
52.92,-2.37
51.47,-2.59
51.73,-0.59
50.83,-1.84
53.36,-2.36
52.91,-2.38
52.29,-2.77
51.37,-0.42
52.94,-2.64
52.73,1.42
50.93,-4.37
51.68,-2.34
50.99,-3.73
50.73,-4.28
50.95,-3.72
50.95,-2.12
51.41,-1.28
52.58,-2.06
52.6,-2.06
53.37,-1.71
52.21,-1.56
53.16,-1.49
53.14,-1.47
52.32,-1.54
52.94,-2.64
52.06,-2.52
50.4,-3.67
51.05,-3.21
50.9,-3.96
50.81,-3.9
52.07,0.93
51.3,-0.3
50.88,-3.42
51.23,-2.84
50.96,-1.23
50.1,-5.35
52.48,-0.45
52.27,-2.71
52.13,-0.89
53.21,-2.75
52.63,-0.37
55.95,-4.83
51.32,-2.15
51.43,-2.62
50.88,0.07
53.3,-2.66
53.48,-2.64
51.64,-1.94
52.04,-2.01
53.48,-2.09
53.42,-2.33
51.42,-2.63
51.12,0.15
50.93,-0.33
50.88,-1.53
53.55,-2.78
50.9,-1.51
51.1,0.01
51.78,-3.26
51.26,-0.72
50.73,-4.29
50.93,-2.91
50.55,-3.56
52.03,-0.16
52.7,-0.72
52.04,-0.17
52.52,1.15
51.23,-2.53
52.74,0.51
52.49,-2.2
54.18,-3.21
53.61,-1.17
50.72,-2.68
53,-0.8
51.73,-0.82
54.6,-2.76
53.25,-0.89
53.92,-1.16
53.92,-1.19
56.06,-5.32
55.42,-5.6
54.31,-2.09
53.92,-1.75
52.85,-0.39
52.46,1.16
52.95,-0.89
51.12,-2.77
52.24,1.17
54.75,-3.33
51.93,-0.03
52.91,-0.12
52.97,-1.21
52.89,-2.28
52.01,-0.63
52.32,-1.86
52,-0.66
53.56,-2.59
53.47,-2.55
60.49,-1.47
53.74,-0.92
53.26,0.23
53.27,0.2
52,0.81
52.12,0.58
53.14,-2.24
52.17,-1.02
53.29,-0.11
52.65,-2.93
52.51,-2.9
51.79,-1.59
51.8,-1.56
53.25,-2.27
52.49,-1.54
52.3,-2.32
53.49,-2.45
52.75,-2.71
52.56,-2.44
53.6,-2.43
52.31,-2.29
53.48,-2.45
53.34,-2.7
52.33,-2.79
52.53,-2.29
52.49,-1.88
52.51,-3.04
52.25,-2.79
51.88,-0.15
51.72,-1.5
51.54,-0.87
53.34,-1.73
53.29,-2.67
53.36,-1.31
52.96,-2.37
53.01,-2.58
53.19,-3.04
52.87,-1.76
52.84,-2.69
52.8,-2.16
51.87,-0.78
52.32,-2.55
52.45,-2.54
52.87,-2.13
52.22,-1.81
51.8,-0.73
51.9,-2.48
51.99,-2.08
51.9,-0.15
52.54,-2.51
52.31,-2.06
52.52,-1.32
51.9,-2.46
53.1,-2.53
52.14,-1.28
52.01,-1.72
52.47,-2.72
52,-2.08
52.42,-2.89
52.85,-1.39
52.63,-2.99
52.64,-2.97
51.68,-0.95
51.75,-0.91
52.04,-1.94
52.84,-3.01
52.06,-1.81
51.56,-1.2
51.57,-1.2
52.02,-1.27
51.81,-0.71
52.02,-0.23
53.17,-1.34
52.28,-2.1
52.11,-0.61
52.21,-2.2
52.25,-1.94
52.93,-0.42
53.2,0.05
52.67,-2.68
52.14,-1.95
50.74,-2.32
52.28,1.22
51.04,-2.94
55.98,-2.75
50.6,-1.35
50.98,-4.01
50.79,-0.58
53.57,-1.47
53.57,-1.47
50.94,-2.88
52.57,-1.54
52.14,-1.7
53.52,-2.49
53.02,-1.65
50.75,-2.79
57.38,-5.46
52.9,-1.24
52.04,-0.7
53.41,-0.52
53.38,-1.44
52.56,-2.53
52.57,-1.48
52.51,1
52.5,-1.45
52.7,1.13
52.15,0.54
53.93,-0.18
51.38,-2.2
52.11,-2.74
53.14,-0.62
57.03,-2.51
57.33,-3.33
55.79,-4.39
55.25,-3.85
56.89,-2.46
54.83,-3.88
55.14,-3.61
55.49,-5.1
55.57,-5.34
55.83,-2.24
55.84,-3.19
57,-3.41
55.76,-3.61
57.63,-3.05
55.63,-4.78
55.66,-3.9
55.44,-5.14
55.89,-5.24
54.83,-4.75
55.76,-4.13
55.68,-4.61
57.28,-5.58
55.89,-4.22
57.58,-3
56.17,-5.17
55.46,-4.29
56.72,-3.32
55.9,-4.16
55.78,-4.09
55.95,-4.13
55.96,-4.05
57.3,-2.63
56.43,-4.41
55.53,-4.36
56.58,-2.53
56.19,-3.27
56.18,-3.17
56.75,-2.88
57.45,-2.11
57.29,-3.31
56.28,-3.71
57.72,-5.69
56.14,-3.27
56.28,-3.24
56.09,-3.25
56.35,-4.34
53.5,-1.02
53.47,-2.12
52.98,-2.5
53.04,-2.31
52.39,1.14
52.01,0.21
52.14,0.7
52,0.63
54.73,-3.16
51.3,-1.67
54.09,-2.68
53.83,-0.93
53.53,-2.92
53.36,-1.32
53.54,-2.89
54.62,-2.09
57.57,-3.82
52.18,-2.79
55.15,-3.71
55.72,-4.19
57.45,-2.53
57.84,-5.59
53.18,-1.31
58.55,-4.06
58.57,-4.04
57.56,-3
57.49,-4.48
52.71,-0.49
50.79,-3.36
52.92,-0.45
57.15,-7.32
51.59,-2.62
52.77,-0.08
53.42,0.06
51.59,-0.57
53.43,-1
53.54,-2.07
53.79,-1.43
52.65,-1.57
54.1,-2.36
53.3,0.09
53.23,0.29
51.42,-1.85
51.42,-1.87
51.49,0.24
51.68,-2.17
51.63,-2.42
53.07,-0.86
57.27,-5.58
51.44,0.07
50.3,-3.84
57.18,-3.83
51.08,-1.24
51.41,-1.46
57.56,-4.17
50.78,-1.8
51.48,-2.07
55.92,-3.74
51.32,-2.28
52.14,-1.4
51.49,-2.69
50.4,-3.81
51,-1.53
51.56,-2.59
50.8,-3.23
51.77,-2.43
52.98,-1.28
51.28,-2.81
51.18,-1.12
51.41,-1.67
51.34,-1.19
50.77,-3
50.71,-3.06
53.3,-3.35
50.48,-4.1
54.94,-1.7
51.11,1.28
54.59,-1.56
54.98,-2
54.78,-1.59
51.7,-2.56
51.71,-2.58
54.83,-2.45
50.71,-3.37
51.81,-0.82
53.54,-0.19
51.29,0.46
51.22,1.19
52.59,-1.15
52.05,-2.7
52.6,-1.14
52.9,1.24
52.79,1.24
52.03,-2.51
51.89,-1.85
52.28,-2.85
51.99,-1.25
51.81,-0.24
51.83,-0.27
51.82,-0.24
55.46,-4.62
51.79,-0.33
60.21,-1.49
54.9,-1.39
54.28,-2
50.92,-3.36
54.23,-2.93
52.6,-0.73
51.8,0.3
54.88,-1.56
55.84,-2.12
55.84,-2.12
54.16,-1.61
50.47,-3.52
52.98,-1.27
52.86,-2.99
51.82,0.01
51.04,-2.62
52,-3.7
52.1,0.52
53.24,-3.27
50.55,-3.87
52.8,0.47
52.12,0.2
53.31,-0.98
58.27,-6.3
53.32,-4.35
52.42,-2.79
52.52,-3.12
50.87,0.61
52.46,-2.73
51.68,-4.02
59.15,-2.77
54.24,-2.99
53.43,-2.07
57.39,-2.78
51.8,-4.52
53.23,-2.91
53.25,-2.93
57.44,-2.36
57.5,-2.13
57.45,-2.06
57.99,-3.98
57.7,-3.44
56.26,-2.92
53.05,-1.88
55.47,-4.29
52.19,0.54
51.4,-2.74
51.41,-2.74
51.41,-2.73
55.04,-1.53
51.83,0.32
51.84,0.32
52.48,-1.75
52.88,1.15
52.26,1
51.98,-2.93
